Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2018,A,0,C,A,N,SH_ACS_MCV2,KG21,PT,99.425085
2019,A,0,C,A,N,SH_ACS_MCV2,KG21,PT,97.981883
2015,A,0,C,A,N,SH_ACS_PCV3,KG,PT,96.8
2016,A,0,C,A,N,SH_ACS_PCV3,KG,PT,97.2
2017,A,0,C,A,N,SH_ACS_PCV3,KG,PT,94.2
2018,A,0,C,A,N,SH_ACS_PCV3,KG,PT,92.0
2019,A,0,C,A,N,SH_ACS_PCV3,KG,PT,95.083643
2015,A,0,C,A,N,SH_ACS_PCV3,KG05,PT,97.3
2016,A,0,C,A,N,SH_ACS_PCV3,KG05,PT,99.3
2017,A,0,C,A,N,SH_ACS_PCV3,KG05,PT,96.3
2018,A,0,C,A,N,SH_ACS_PCV3,KG05,PT,94.6
2019,A,0,C,A,N,SH_ACS_PCV3,KG05,PT,99.597512
2015,A,0,C,A,N,SH_ACS_PCV3,KG03,PT,97.3
2016,A,0,C,A,N,SH_ACS_PCV3,KG03,PT,95.9
2017,A,0,C,A,N,SH_ACS_PCV3,KG03,PT,94.5
2018,A,0,C,A,N,SH_ACS_PCV3,KG03,PT,93.8
2019,A,0,C,A,N,SH_ACS_PCV3,KG03,PT,90.089857
2015,A,0,C,A,N,SH_ACS_PCV3,KG02,PT,98.2
2016,A,0,C,A,N,SH_ACS_PCV3,KG02,PT,96.4
2017,A,0,C,A,N,SH_ACS_PCV3,KG02,PT,96.3
2018,A,0,C,A,N,SH_ACS_PCV3,KG02,PT,95.0
2019,A,0,C,A,N,SH_ACS_PCV3,KG02,PT,94.992818
2015,A,0,C,A,N,SH_ACS_PCV3,KG04,PT,96.8
2016,A,0,C,A,N,SH_ACS_PCV3,KG04,PT,96.7
2017,A,0,C,A,N,SH_ACS_PCV3,KG04,PT,97.0
2018,A,0,C,A,N,SH_ACS_PCV3,KG04,PT,95.1
2019,A,0,C,A,N,SH_ACS_PCV3,KG04,PT,97.283381
2015,A,0,C,A,N,SH_ACS_PCV3,KG06,PT,96.3
2016,A,0,C,A,N,SH_ACS_PCV3,KG06,PT,98.8
2017,A,0,C,A,N,SH_ACS_PCV3,KG06,PT,97.2
2018,A,0,C,A,N,SH_ACS_PCV3,KG06,PT,92.1
2019,A,0,C,A,N,SH_ACS_PCV3,KG06,PT,98.41451
2015,A,0,C,A,N,SH_ACS_PCV3,KG07,PT,97.2
2016,A,0,C,A,N,SH_ACS_PCV3,KG07,PT,96.1
2017,A,0,C,A,N,SH_ACS_PCV3,KG07,PT,94.0
2018,A,0,C,A,N,SH_ACS_PCV3,KG07,PT,96.0
2019,A,0,C,A,N,SH_ACS_PCV3,KG07,PT,94.297841
2015,A,0,C,A,N,SH_ACS_PCV3,KG08,PT,97.6
2016,A,0,C,A,N,SH_ACS_PCV3,KG08,PT,98.7
2017,A,0,C,A,N,SH_ACS_PCV3,KG08,PT,92.6
2018,A,0,C,A,N,SH_ACS_PCV3,KG08,PT,92.1
2019,A,0,C,A,N,SH_ACS_PCV3,KG08,PT,94.916128
2015,A,0,C,A,N,SH_ACS_PCV3,KG11,PT,95.0
2016,A,0,C,A,N,SH_ACS_PCV3,KG11,PT,94.8
2017,A,0,C,A,N,SH_ACS_PCV3,KG11,PT,90.4
2018,A,0,C,A,N,SH_ACS_PCV3,KG11,PT,83.4
2019,A,0,C,A,N,SH_ACS_PCV3,KG11,PT,93.823491
2015,A,0,C,A,N,SH_ACS_PCV3,KG21,PT,97.9
2016,A,0,C,A,N,SH_ACS_PCV3,KG21,PT,96.8
2017,A,0,C,A,N,SH_ACS_PCV3,KG21,PT,90.0
2018,A,0,C,A,N,SH_ACS_PCV3,KG21,PT,93.9
2019,A,0,C,A,N,SH_ACS_PCV3,KG21,PT,95.896254
